IDRSSD,RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD6164,RCFD6165,RCFDA590,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK192,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TEXT4087,
42448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23145,0,20000,20226,0,140380,,0,0,0,0,0,15352,6,0,,,0,20000,52500,57500,10000,0,0,0,0,380,0,380,,,,2919,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http://www.fnbank.net,
42457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,15,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.gotocb.net,
43052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1000,,0,0,0,0,0,526,1,0,,,0,0,0,1000,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.sbankonline.com,
43351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5553,20,0,5143,0,10880,,0,0,20,0,0,1229,1,0,,,0,0,0,0,10880,0,0,0,0,0,0,0,,,0,410,,,,,,0,0,0,0,0,0,,,,,WWW.PSBBANKS.COM,,WWW.STANLEYBANK.COM,,,,,,,,,,,,,,www.outdoorbank.com,
43856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,714,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http://www.mnbeveleth.com,
43959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,1640,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.bridgecitybank.com,
44040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,1011,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fnbmonterey.com,
44433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,31000,0,0,43000,,0,0,0,0,0,2059,1,0,false,0,0,31000,8000,0,4000,0,0,0,0,0,0,0,false,false,0,7,0,,,,,2,257,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.intercreditbank.com,
44741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0,0,0,752,0,,0,0,0,0,0,4511,3,1355,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.citizens-banking.com,
44750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3046,0,0,0,15600,,2798,0,14,0,234,707,0,0,,,0,0,15600,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.cbmw.bank,
44929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6079,0,0,6071,0,0,,0,0,0,0,0,146,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,0,8,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.first-national.com,
