IDRSSD,RCFD0010,RCFD0022,RCFD0070,RCFD0082,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,
,CASH AND DUE FROM DEPOSITORIES,CASH & CASH ITEMS IN PROCESS OF COLL,BALANCES WITH BKS IN FGN COUNTRIES,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,CASH AND DUE FROM DEPOSITORIES,CASH ITEMS IN PROCESS OF COLLECTION,BALANCES WITH BKS IN FGN COUNTRIES,CURR&COIN (U.S. & FGN) VAULT CASH,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,
110972,,,,,,,,,,,,
111157,,,,,,,,,,,,
111205,,,,,,,,,,,,
111942,,,,,,,,,,,,
111979,,,,,,,,,,,,
112163,,,,,,49737,2797,0,17630,24658,4652,
112332,,,,,,,,,,,,
112510,,,,,,,,,,,,
112556,,,,,,,,,,,,
112837,47327509,4591503,637670,3963061,38135275,46787219,3820051,97381,771451,3963061,38135275,
113003,,,,,,56640,917,0,550,2499,52674,
113030,,,,,,,,,,,,
113441,,,,,,,,,,,,
113601,,,,,,,,,,,,
113740,,,,,,117674,9738,0,2292,6943,98701,
114149,,,,,,,,,,,,
114260,,,,,,330913,41,0,27647,33,303192,
114457,,,,,,,,,,,,
114774,,,,,,,,,,,,
114840,,,,,,,,,,,,
114859,,,,,,,,,,,,
115146,,,,,,,,,,,,
115575,,,,,,,,,,,,
116358,,,,,,,,,,,,
116554,,,,,,,,,,,,
116741,,,,,,,,,,,,
117038,,,,,,,,,,,,
117074,,,,,,,,,,,,
117458,,,,,,,,,,,,
117775,,,,,,,,,,,,
118156,,,,,,,,,,,,
118660,,,,,,,,,,,,
118736,,,,,,,,,,,,
119153,,,,,,4068,1600,0,1425,455,588,
119779,,,,,,24334,12286,0,3115,2102,6831,
119872,,,,,,,,,,,,
120476,,,,,,,,,,,,
120542,,,,,,,,,,,,
120609,,,,,,,,,,,,
120953,,,,,,,,,,,,
121642,,,,,,223477,222,0,37974,10465,174816,
121651,,,,,,,,,,,,
121914,,,,,,,,,,,,
122153,,,,,,,,,,,,
122546,,,,,,,,,,,,
122854,,,,,,770603,55929,0,29986,495731,188957,
123075,,,,,,,,,,,,
123374,,,,,,,,,,,,
124344,,,,,,,,,,,,
124830,,,,,,,,,,,,
125154,,,,,,35527,1725,0,21521,599,11682,
125855,,,,,,,,,,,,
125873,,,,,,,,,,,,
126012,,,,,,,,,,,,
126049,,,,,,,,,,,,
126375,,,,,,,,,,,,
126553,,,,,,9052,0,0,1507,6024,1521,
126834,,,,,,,,,,,,
127055,,,,,,,,,,,,
127224,,,,,,,,,,,,
128258,,,,,,,,,,,,
128904,,,,,,746488,20064,4244,43380,14616,664184,
129349,,,,,,,,,,,,
129358,,,,,,,,,,,,
129732,,,,,,730457,6522,0,24603,39976,659356,
129853,,,,,,,,,,,,
129910,,,,,,,,,,,,
130345,,,,,,,,,,,,
130541,,,,,,137040,79,0,34303,68659,33999,
131436,,,,,,71323,5133,0,7436,6878,51876,
131717,,,,,,,,,,,,
131940,,,,,,,,,,,,
